name,status,checked_at,cpu,mem
equipment-0615,오프라인,2026-01-14,20,90
equipment-0616,정상,2026-01-10,19,46
equipment-0617,정상,2026-04-10,48,80
equipment-0618,오프라인,2026-04-21,35,69
equipment-0619,점검 필요,2026-01-25,71,85
equipment-0620,정상,2026-07-02,30,39
equipment-0621,오프라인,2026-06-24,23,45
equipment-0622,점검 필요,2026-02-22,50,55
equipment-0623,점검 필요,2026-04-21,94,22
equipment-0624,오프라인,2026-04-01,40,12
equipment-0625,정상,2026-04-07,15,65
equipment-0626,정상,2026-04-23,8,86
equipment-0627,오프라인,2026-06-28,50,60
equipment-0628,점검 필요,2026-05-17,77,55
equipment-0629,정상,2026-01-10,79,67
equipment-0630,정상,2026-03-12,26,21
equipment-0631,오프라인,2026-02-06,76,61
equipment-0632,점검 필요,2026-05-26,68,31
equipment-0633,점검 필요,2026-05-26,31,70
equipment-0634,점검 필요,2026-01-10,46,81
equipment-0635,정상,2026-02-25,1,42
equipment-0636,오프라인,2026-04-11,33,6
equipment-0637,점검 필요,2026-01-05,52,18
equipment-0638,오프라인,2026-02-12,31,54
equipment-0639,정상,2026-01-28,3,88
equipment-0640,정상,2026-06-04,72,94
equipment-0641,점검 필요,2026-08-08,100,27
equipment-0642,점검 필요,2026-08-22,72,24
equipment-0643,오프라인,2026-07-23,49,66
equipment-0644,점검 필요,2026-02-12,48,10
equipment-0645,정상,2026-08-09,42,56
equipment-0646,점검 필요,2026-01-05,67,54
equipment-0647,정상,2026-08-28,98,60
equipment-0648,정상,2026-01-11,93,12
equipment-0649,점검 필요,2026-03-06,64,87
equipment-0650,정상,2026-06-14,24,76
equipment-0651,정상,2026-09-02,48,4
equipment-0652,오프라인,2026-08-02,11,38
equipment-0653,점검 필요,2026-07-13,96,59
equipment-0654,정상,2026-01-23,24,19
equipment-0655,오프라인,2026-02-27,69,7
equipment-0656,오프라인,2026-07-04,4,84
equipment-0657,정상,2026-09-12,86,97
equipment-0658,오프라인,2026-03-16,77,22
equipment-0659,정상,2026-02-12,88,94
equipment-0660,정상,2026-02-04,11,11
equipment-0661,오프라인,2026-07-02,72,8
equipment-0662,정상,2026-03-12,98,84
equipment-0663,오프라인,2026-08-20,42,16
equipment-0664,오프라인,2026-08-14,21,93
equipment-0665,오프라인,2026-07-11,82,66
equipment-0666,점검 필요,2026-07-22,1,76
equipment-0667,정상,2026-04-21,14,39
equipment-0668,정상,2026-08-18,26,53
equipment-0669,점검 필요,2026-07-06,80,7
equipment-0670,오프라인,2026-06-20,61,34
equipment-0671,점검 필요,2026-06-24,52,90
equipment-0672,정상,2026-02-24,11,21
equipment-0673,오프라인,2026-02-10,65,68
equipment-0674,점검 필요,2026-06-13,93,38
equipment-0675,점검 필요,2026-04-04,46,87
equipment-0676,점검 필요,2026-01-15,56,53
equipment-0677,오프라인,2026-06-07,65,60
equipment-0678,오프라인,2026-02-26,61,70
equipment-0679,점검 필요,2026-05-21,70,73
equipment-0680,정상,2026-06-15,77,84
equipment-0681,오프라인,2026-01-27,76,86
equipment-0682,점검 필요,2026-01-02,65,75
equipment-0683,오프라인,2026-06-03,49,67
equipment-0684,오프라인,2026-03-30,72,90
equipment-0685,정상,2026-03-30,22,32
equipment-0686,오프라인,2026-05-28,69,66
equipment-0687,정상,2026-09-14,34,48
equipment-0688,정상,2026-01-01,63,66
equipment-0689,점검 필요,2026-01-17,93,57
equipment-0690,오프라인,2026-05-30,96,36
equipment-0691,정상,2026-03-26,40,39
equipment-0692,오프라인,2026-01-06,7,23
equipment-0693,오프라인,2026-03-11,69,90
equipment-0694,정상,2026-03-22,20,44
equipment-0695,오프라인,2026-04-07,34,55
equipment-0696,오프라인,2026-03-06,15,33
equipment-0697,오프라인,2026-03-31,88,73
equipment-0698,오프라인,2026-03-02,38,93
equipment-0699,정상,2026-04-10,70,49
equipment-0700,오프라인,2026-01-31,99,26
equipment-0701,정상,2026-02-17,10,13
equipment-0702,점검 필요,2026-08-21,47,45
equipment-0703,정상,2026-03-09,4,48
equipment-0704,오프라인,2026-05-22,74,32
equipment-0705,오프라인,2026-04-27,66,22
equipment-0706,오프라인,2026-04-18,38,56
equipment-0707,오프라인,2026-02-19,67,9
equipment-0708,점검 필요,2026-01-03,35,29
equipment-0709,점검 필요,2026-04-27,20,64
equipment-0710,정상,2026-03-09,29,81
equipment-0711,정상,2026-01-04,35,32
equipment-0712,오프라인,2026-03-17,97,63
equipment-0713,점검 필요,2026-05-20,82,81
equipment-0714,정상,2026-01-16,20,72
equipment-0715,정상,2026-01-15,28,92
equipment-0716,오프라인,2026-09-04,83,82
equipment-0717,오프라인,2026-05-08,53,7
equipment-0718,오프라인,2026-07-28,49,14
equipment-0719,오프라인,2026-01-05,18,87
equipment-0720,정상,2026-07-17,69,43
equipment-0721,정상,2026-01-04,1,33
equipment-0722,점검 필요,2026-02-01,1,64
equipment-0723,정상,2026-01-21,68,39
equipment-0724,점검 필요,2026-07-28,23,25
equipment-0725,정상,2026-02-09,60,4
equipment-0726,오프라인,2026-03-23,92,50
equipment-0727,점검 필요,2026-03-06,65,12
equipment-0728,오프라인,2026-02-08,49,40
equipment-0729,정상,2026-07-07,54,53
equipment-0730,정상,2026-05-24,7,35
equipment-0731,오프라인,2026-07-10,62,3
equipment-0732,오프라인,2026-06-16,80,37
equipment-0733,점검 필요,2026-06-28,32,80
equipment-0734,정상,2026-08-17,93,100
equipment-0735,점검 필요,2026-02-22,20,39
equipment-0736,오프라인,2026-07-08,42,30
equipment-0737,오프라인,2026-07-17,8,10
equipment-0738,정상,2026-05-22,6,31
equipment-0739,정상,2026-09-08,86,67
equipment-0740,정상,2026-08-11,39,30
equipment-0741,점검 필요,2026-07-07,94,53
equipment-0742,오프라인,2026-07-26,65,70
equipment-0743,정상,2026-06-22,100,95
equipment-0744,오프라인,2026-06-26,80,90
equipment-0745,정상,2026-04-04,87,79
equipment-0746,오프라인,2026-05-19,45,18
equipment-0747,정상,2026-04-19,19,78
equipment-0748,점검 필요,2026-08-31,52,65
equipment-0749,점검 필요,2026-05-08,1,57
equipment-0750,점검 필요,2026-03-08,30,4
equipment-0751,오프라인,2026-08-16,20,79
equipment-0752,오프라인,2026-05-30,48,45
equipment-0753,점검 필요,2026-07-06,60,86
equipment-0754,오프라인,2026-07-19,78,96
equipment-0755,정상,2026-01-09,82,45
equipment-0756,점검 필요,2026-03-15,3,41
equipment-0757,정상,2026-04-12,97,62
equipment-0758,점검 필요,2026-07-16,42,34
equipment-0759,정상,2026-02-15,55,84
equipment-0760,정상,2026-08-10,22,4
equipment-0761,오프라인,2026-03-08,78,39
equipment-0762,점검 필요,2026-02-13,19,87
equipment-0763,오프라인,2026-01-06,55,8
equipment-0764,정상,2026-01-12,67,61
equipment-0765,오프라인,2026-03-08,37,92
equipment-0766,정상,2026-08-20,73,19
equipment-0767,오프라인,2026-07-31,44,19
equipment-0768,오프라인,2026-07-19,4,55
equipment-0769,오프라인,2026-03-29,61,47
equipment-0770,정상,2026-03-16,91,4
equipment-0771,오프라인,2026-04-07,21,1
equipment-0772,정상,2026-03-09,31,85
equipment-0773,정상,2026-07-30,40,53
equipment-0774,정상,2026-03-22,49,82
equipment-0775,점검 필요,2026-03-27,92,48
equipment-0776,오프라인,2026-09-06,27,44
equipment-0777,점검 필요,2026-07-27,91,1
equipment-0778,점검 필요,2026-07-17,43,27
equipment-0779,점검 필요,2026-07-12,88,47
equipment-0780,정상,2026-05-26,75,64
equipment-0781,점검 필요,2026-09-11,44,42
equipment-0782,오프라인,2026-06-24,13,29
equipment-0783,점검 필요,2026-07-13,51,75
equipment-0784,오프라인,2026-02-04,43,41
equipment-0785,점검 필요,2026-05-16,75,29
equipment-0786,점검 필요,2026-01-11,58,1
equipment-0787,오프라인,2026-02-02,27,16
equipment-0788,오프라인,2026-08-30,14,79
equipment-0789,오프라인,2026-09-09,14,71
equipment-0790,정상,2026-06-09,93,64
equipment-0791,점검 필요,2026-08-22,74,1
equipment-0792,정상,2026-02-11,41,65
equipment-0793,점검 필요,2026-06-25,2,64
equipment-0794,정상,2026-03-25,56,15
equipment-0795,점검 필요,2026-07-22,76,25
equipment-0796,정상,2026-08-10,41,41
equipment-0797,오프라인,2026-05-21,94,16
equipment-0798,오프라인,2026-01-18,65,33
equipment-0799,점검 필요,2026-08-26,60,58
equipment-0800,정상,2026-05-05,64,97
equipment-0801,점검 필요,2026-03-11,39,19
equipment-0802,오프라인,2026-06-02,83,27
equipment-0803,오프라인,2026-02-23,43,40
equipment-0804,점검 필요,2026-09-06,2,88
equipment-0805,오프라인,2026-06-24,6,59
equipment-0806,정상,2026-06-28,93,32
equipment-0807,점검 필요,2026-01-18,59,47
equipment-0808,정상,2026-08-02,72,62
equipment-0809,오프라인,2026-01-12,64,63
equipment-0810,점검 필요,2026-04-28,13,97
equipment-0811,정상,2026-06-16,96,77
equipment-0812,오프라인,2026-03-17,13,94
equipment-0813,점검 필요,2026-09-01,24,74
equipment-0814,오프라인,2026-08-15,43,12
equipment-0815,정상,2026-08-19,45,3
equipment-0816,오프라인,2026-09-11,21,85
equipment-0817,오프라인,2026-06-14,35,15
equipment-0818,오프라인,2026-07-30,78,22
equipment-0819,오프라인,2026-01-13,64,72
equipment-0820,오프라인,2026-05-16,1,75
equipment-0821,오프라인,2026-02-13,65,43
equipment-0822,오프라인,2026-07-18,100,80
equipment-0823,오프라인,2026-07-20,50,14
equipment-0824,정상,2026-05-31,35,15
equipment-0825,점검 필요,2026-06-11,85,19
equipment-0826,점검 필요,2026-08-11,77,12
equipment-0827,정상,2026-06-01,38,20
equipment-0828,오프라인,2026-09-12,80,42
equipment-0829,점검 필요,2026-05-03,58,99
equipment-0830,정상,2026-09-06,69,63
equipment-0831,오프라인,2026-04-23,17,11
equipment-0832,정상,2026-05-18,4,58
equipment-0833,점검 필요,2026-07-13,72,81
equipment-0834,정상,2026-02-03,69,83
equipment-0835,점검 필요,2026-04-18,42,47
equipment-0836,정상,2026-06-19,76,47
equipment-0837,오프라인,2026-04-05,61,18
equipment-0838,오프라인,2026-08-25,58,57
equipment-0839,정상,2026-09-10,38,51
equipment-0840,정상,2026-07-16,56,33
equipment-0841,정상,2026-02-19,82,9
equipment-0842,오프라인,2026-02-13,33,57
equipment-0843,점검 필요,2026-01-23,97,84
equipment-0844,오프라인,2026-05-17,5,36
equipment-0845,정상,2026-04-25,31,64
equipment-0846,정상,2026-04-28,2,39
equipment-0847,정상,2026-01-13,62,62
equipment-0848,정상,2026-08-01,53,65
equipment-0849,오프라인,2026-05-10,45,65
equipment-0850,정상,2026-05-21,47,71
equipment-0851,정상,2026-03-04,24,42
equipment-0852,정상,2026-08-30,36,69
equipment-0853,점검 필요,2026-07-27,9,99
equipment-0854,정상,2026-04-11,86,70
equipment-0855,오프라인,2026-09-05,72,34
equipment-0856,오프라인,2026-09-11,93,14
equipment-0857,오프라인,2026-07-21,78,4
equipment-0858,오프라인,2026-07-30,35,46
equipment-0859,오프라인,2026-01-08,81,52
equipment-0860,정상,2026-02-15,56,61
equipment-0861,정상,2026-03-02,28,32
equipment-0862,오프라인,2026-09-04,75,62
equipment-0863,정상,2026-07-05,18,95
equipment-0864,오프라인,2026-03-18,11,80
equipment-0865,점검 필요,2026-07-21,40,19
equipment-0866,점검 필요,2026-08-15,75,95
equipment-0867,오프라인,2026-05-20,50,65
equipment-0868,점검 필요,2026-08-14,86,61
equipment-0869,정상,2026-02-22,31,30
equipment-0870,정상,2026-07-09,17,72
equipment-0871,오프라인,2026-08-13,15,80
equipment-0872,오프라인,2026-06-03,38,61
equipment-0873,점검 필요,2026-04-17,29,20
equipment-0874,점검 필요,2026-06-03,64,49
equipment-0875,점검 필요,2026-01-21,23,78
equipment-0876,오프라인,2026-04-03,26,33
equipment-0877,오프라인,2026-08-08,96,81
equipment-0878,정상,2026-07-28,87,43
equipment-0879,정상,2026-01-12,89,7
equipment-0880,오프라인,2026-07-26,28,86
equipment-0881,점검 필요,2026-03-19,67,98
equipment-0882,오프라인,2026-03-16,42,49
equipment-0883,오프라인,2026-06-20,51,88
equipment-0884,정상,2026-06-26,73,79
equipment-0885,점검 필요,2026-02-05,85,55
equipment-0886,정상,2026-03-28,54,2
equipment-0887,점검 필요,2026-03-05,46,38
equipment-0888,오프라인,2026-05-18,49,30
equipment-0889,점검 필요,2026-05-05,20,50
equipment-0890,오프라인,2026-04-08,15,58
equipment-0891,점검 필요,2026-01-08,13,63
equipment-0892,오프라인,2026-06-13,49,69
equipment-0893,점검 필요,2026-03-03,46,22
equipment-0894,정상,2026-04-10,65,95
equipment-0895,오프라인,2026-01-10,19,41
equipment-0896,정상,2026-06-06,79,46
equipment-0897,오프라인,2026-04-27,65,46
equipment-0898,정상,2026-05-31,81,38
equipment-0899,점검 필요,2026-04-20,32,77
equipment-0900,점검 필요,2026-08-27,2,91
equipment-0901,정상,2026-05-28,49,46
equipment-0902,점검 필요,2026-01-24,85,13
equipment-0903,정상,2026-06-26,92,73
equipment-0904,오프라인,2026-05-09,19,71
equipment-0905,오프라인,2026-06-12,99,77
equipment-0906,점검 필요,2026-08-22,45,58
equipment-0907,오프라인,2026-03-26,22,56
equipment-0908,오프라인,2026-06-30,58,96
equipment-0909,정상,2026-08-02,33,29
equipment-0910,오프라인,2026-02-19,51,9
equipment-0911,정상,2026-05-24,5,92
equipment-0912,점검 필요,2026-07-22,93,28
equipment-0913,점검 필요,2026-03-23,53,31
equipment-0914,점검 필요,2026-05-05,100,39
equipment-0915,점검 필요,2026-07-04,51,30
equipment-0916,오프라인,2026-04-04,10,44
equipment-0917,정상,2026-03-04,10,58
equipment-0918,오프라인,2026-05-16,3,25
equipment-0919,오프라인,2026-05-06,95,26
equipment-0920,오프라인,2026-02-03,90,68
equipment-0921,오프라인,2026-08-11,1,21
equipment-0922,오프라인,2026-06-14,54,22
equipment-0923,정상,2026-02-21,13,88
equipment-0924,정상,2026-08-15,13,69
equipment-0925,점검 필요,2026-07-05,73,39
equipment-0926,점검 필요,2026-06-21,60,93
equipment-0927,정상,2026-02-12,46,53
equipment-0928,점검 필요,2026-03-23,38,5
equipment-0929,오프라인,2026-06-21,77,43
equipment-0930,정상,2026-03-11,98,12
equipment-0931,정상,2026-05-22,6,3
equipment-0932,정상,2026-01-28,87,91
equipment-0933,오프라인,2026-07-03,75,1
equipment-0934,오프라인,2026-02-12,5,100
equipment-0935,정상,2026-06-20,13,75
equipment-0936,정상,2026-08-29,29,34
equipment-0937,점검 필요,2026-03-14,15,37
equipment-0938,정상,2026-08-05,69,80
equipment-0939,점검 필요,2026-04-02,88,41
equipment-0940,점검 필요,2026-04-28,38,77
equipment-0941,점검 필요,2026-06-18,32,71
equipment-0942,정상,2026-06-19,21,10
equipment-0943,점검 필요,2026-07-23,64,35
equipment-0944,정상,2026-05-14,85,49
equipment-0945,정상,2026-07-16,6,79
equipment-0946,정상,2026-04-05,14,52
equipment-0947,오프라인,2026-08-20,6,57
equipment-0948,점검 필요,2026-05-03,75,1
equipment-0949,오프라인,2026-03-18,50,58
equipment-0950,정상,2026-03-12,41,55
equipment-0951,오프라인,2026-03-13,2,47
equipment-0952,정상,2026-01-01,48,27
equipment-0953,오프라인,2026-01-20,54,57
equipment-0954,점검 필요,2026-02-20,82,5
equipment-0955,정상,2026-08-04,44,43
equipment-0956,정상,2026-01-01,36,5
equipment-0957,오프라인,2026-06-05,76,72
equipment-0958,정상,2026-05-27,53,49
equipment-0959,점검 필요,2026-01-17,7,41
equipment-0960,정상,2026-01-02,96,37
equipment-0961,오프라인,2026-05-17,34,70
equipment-0962,오프라인,2026-02-06,99,41
equipment-0963,오프라인,2026-06-12,29,77
equipment-0964,오프라인,2026-05-07,14,44
equipment-0965,정상,2026-05-01,12,90
equipment-0966,정상,2026-06-22,50,91
equipment-0967,점검 필요,2026-02-12,21,9
equipment-0968,정상,2026-08-07,95,73
equipment-0969,오프라인,2026-01-19,24,45
equipment-0970,점검 필요,2026-04-17,92,29
equipment-0971,정상,2026-03-13,62,98
equipment-0972,오프라인,2026-03-21,19,76
equipment-0973,점검 필요,2026-08-12,100,99
equipment-0974,정상,2026-03-30,99,75
equipment-0975,정상,2026-07-02,39,59
equipment-0976,점검 필요,2026-02-23,73,24
equipment-0977,점검 필요,2026-02-17,64,56
equipment-0978,점검 필요,2026-04-17,45,100
equipment-0979,오프라인,2026-02-03,51,10
equipment-0980,오프라인,2026-08-29,81,23
equipment-0981,오프라인,2026-08-26,73,67
equipment-0982,오프라인,2026-06-02,86,59
equipment-0983,정상,2026-01-26,85,90
equipment-0984,오프라인,2026-01-13,32,56
equipment-0985,오프라인,2026-06-16,78,98
equipment-0986,점검 필요,2026-05-06,72,17
equipment-0987,오프라인,2026-01-30,13,62
equipment-0988,오프라인,2026-03-19,93,91
equipment-0989,정상,2026-05-28,22,21
equipment-0990,점검 필요,2026-07-02,68,35
equipment-0991,점검 필요,2026-05-25,42,21
equipment-0992,정상,2026-08-27,86,33
equipment-0993,정상,2026-02-10,100,82
equipment-0994,정상,2026-03-22,46,12
equipment-0995,정상,2026-01-10,37,43
equipment-0996,정상,2026-02-15,97,81
equipment-0997,오프라인,2026-08-17,41,12
equipment-0998,오프라인,2026-05-05,10,22
equipment-0999,점검 필요,2026-06-28,7,3
equipment-1000,점검 필요,2026-03-01,94,60
